title,text
Shutdown-Unity.docx,"President Donald Trump said Republicans ""are totally unified"" behind his border wall fight.

The president met with the Senate GOP caucus as a few senators have started to break with their party in Trump's immigration battle. Trump and senators emerged preaching consensus, which does not bode well for the shutdown ending anytime soon as Democrats hold firm on their pledge not to fund the proposed barrier.

""We're all behind the president. We think this border security issue is extremely important to the country,"" Senate Majority Leader Mitch McConnell told reporters after the meeting.

No deal to reopen nine federal departments appeared to take shape. As the stalemate continues, Trump is set to meet with bipartisan congressional leaders including House Speaker Nancy Pelosi and Senate Minority Leader Chuck Schumer.

The Democratic-held House has passed legislation to fund the government without money for the proposed wall. McConnell has said the Republican-controlled Senate will not take up the measures because Trump opposes them.

One House-passed proposal would fund all remaining departments other than Homeland Security through Sept. 30. A separate bill would reopen DHS through Feb. 8, giving lawmakers time to reach an agreement on border security while allowing workers at other departments to get paid.

Republicans have started to support funding the agencies except Homeland Security, leading to questions about whether pressure on McConnell and Trump will grow. 

Murkowski told reporters that she urged Trump to take her position on government funding during the Senate GOP meeting. Trump responded by saying senators should stay unified, Murkowski said.

Trump has said the shutdown could last for ""months or even years"" if he does not secure money for the wall. 

As the shutdown dragged on Wednesday, Democrats aimed to highlight the federal workers who could soon miss paychecks because of the spat. Standing with furloughed federal workers at the Capitol, Pelosi said the president ""has chosen a wall over workers.""

Their message contrasted with rhetoric from Trump, who described the U.S.-Mexico border as a ""humanitarian crisis"" and used grisly tales to call for an immigration crackdown during a televised Oval Office address Tuesday night.

Trump has downplayed the shutdown's effect on government employees. At the White House on Wednesday, he said the workers ""are terrific patriots and a lot of them agree with what I'm doing.""

""So many of those people are saying, 'It's so hard for me, it's very hard for my family, but Mr. President, you're doing the right thing,'"" Trump claimed.

A top union representative who spoke at the event with Pelosi and Schumer on Wednesday disagreed. U.S. employees are ""absolutely, completely and without reservation opposed to this government shutdown lockout,"" said J. David Cox, national president of the American Federation of Government Employees.

Trump teased the possibility of declaring a national emergency at the border to build the wall — which he ultimately did not do during his remarks Tuesday. The president said Wednesday that the ""threshold"" for him taking that step is failure to reach a border security deal with lawmakers."
CJR_Doc2_Impeachment-Foreign-Influence.docx,"Alexander Hamilton, as usual, got right to the heart of the matter. When the framers were designing the Constitution and its power of impeachment, one of the high crimes they had in mind was giving into what Hamilton called “the desire in foreign powers to gain an improper ascendant in our councils.”



For the authors of the country’s charter, there were few bigger threats than a president corruptly tied to forces from overseas. And so as the House opened an impeachment inquiry into President Trump’s interactions with Ukraine this past week, the debate quickly focused on one of the oldest issues in America’s democratic experiment.



The emerging battle over the future of Mr. Trump’s presidency will explore as never before the scope and limits of a commander in chief’s interactions with other countries. His adversaries echo the fears of the founders in accusing Mr. Trump of committing high crimes by pressuring Ukraine to dig up dirt on Democratic opponents while holding up American aid. Mr. Trump contends that impeaching him would infringe on the ability of future presidents to conduct foreign policy.



Unlike the impeachment battles involving Andrew Johnson, Richard M. Nixon and Bill Clinton, the debate over Mr. Trump turns on whether a president can solicit or accept help from abroad to advance his political fortunes and where lies the line between the national interest and personal interests.



Shortly after the latest revelations about Mr. Trump’s pressure on Ukraine, Senator Christopher Murphy, Democrat of Connecticut, denounced what he called “the president’s corrupt efforts to press a foreign nation into the service of his re-election campaign.”



“To use America’s global credibility as a casino token, to be cashed in for personal political gain,” he added, “is an intolerable abuse of power and totally anathema to the rule of law.”



Mr. Trump has maintained that he was the one trying to stop illicit foreign involvement in American politics by pressing President Volodymyr Zelensky of Ukraine to examine whether Ukrainians helped Democrats during the 2016 campaign and to look into unsubstantiated corruption allegations involving former Vice President Joseph R. Biden Jr.



“If that perfect phone call with the President of Ukraine Isn’t considered appropriate, then no future President can EVER again speak to another foreign leader!” he wrote on Twitter on Friday.



While the framers of the Constitution might never have imagined an impeachment battle waged 280 characters at a time, they did essentially foresee a showdown over foreign influence on an American president. In fact, in the early years of the republic, one of the most dominant fears of the political class was falling under the sway of other powers.





The framers expressed this explicitly by inserting what is now called the emoluments clause in the Constitution, barring international payments or gifts to a president or other federal elected official: “No person holding any office of profit or trust under them, shall, without the consent of the Congress, accept of any present, emolument, office, or title, of any kind whatever, from any king, prince, or foreign state.”"
ER_Doc2_Trump Administration-Trade Agreement-Japan.docx,"America announces a limited trade agreement with Japan


The deal shows how hard it is for the Trump administration to rewrite the rules of world trade

President Donald Trump teased trade-watchers on September 25th when he reannounced a deal with Japan (just weeks after announcing an agreement in principle). He promised it would mean “really big dollars for our farmers and for our ranchers”. A White House press release boasted about the extra access American exporters of beef, pork and cheese would get to the Japanese market. Robert Lighthizer, the United States Trade Representative, told journalists that American tariff reductions would arrive by January 1st. But despite all the fanfare, the text of the deal remained unpublished.

There had been hopes that Mr Trump might sign a mini-deal with India, too, during his meeting with the country’s prime minister, Narendra Modi, on September 24th. American companies complain that India’s price controls on heart stents and knee implants force them to sell at below cost price. The hope was that, in return for a package that solved that problem, India might be reinstated as a member of America’s Generalised System of Preferences, which offers lower tariffs on some products. But negotiators failed to resolve their differences in time.

The mismatch between the demand for photo opportunities and the supply of worked-out trade deals explains both anticlimaxes. Such agreements are complex legal documents, and the language needs to be clear enough that neither side can squeeze out more concessions on the sly. This is trickier when neither trusts the other. The deal with Japan was as difficult as any other, even though the negotiators had relatively recently sealed the Trans-Pacific Partnership (tpp), an agreement including America and Japan negotiated by the Obama administration, only to be rejected by Mr Trump.

Despite the lack of detail, one thing is clear: the deal will be narrow. Apart from some rules on digital trade, it seems to be focused on tariff barriers. It omits cars and car parts, even though these account for around two-fifths of Japanese goods exports to America. This has drawn criticism. Myron Brilliant of the us Chamber of Commerce, a lobby group, described the agreement as “not enough”.

The narrow scope is partly because the Trump administration wants to avoid having to seek full congressional approval. (American trade law allows small tariff concessions to be made without it.) But it raises questions about whether the agreement complies with the rules of the World Trade Organisation, which say deals must include “substantially all the trade” if they are to withstand legal challenge.

The wto does permit smaller interim agreements—and, mirabile dictu, that is how the Trump administration describes this one. The leaders’ joint statement said that within four months of the mini-deal coming into force, the two countries hope to finish consultations and “thereafter” start negotiating a deal that would address issues including barriers to trade in services and investment."
Trump-Plans-to.docx,"For the second time in a month, President Donald Trump is reportedly set to make a controversial nomination to the Federal Reserve Board.

Trump is reportedly waiting until Cain’s background check is complete to make an official announcement. That may end up complicating matters, as Cain has been accused of sexual misconduct by at least four women — allegations that, along with revelations of a long-term extramarital affair, prompted him to end his presidential campaign in December 2011.

Trump — who himself has been accused of sexual misconduct by more than 20 women — defended Cain when the allegations against Cain were in the news in late 2011, telling Fox News at the time that his accusers “probably do love their names splashed across the front pages. … I think Herman should take very, very strong action, even if he has to bring a major lawsuit against the women.”

News that Trump plans to nominate Cain comes less than a month after he announced that he plans to fill another opening on the board with Stephen Moore, an economic commentator who is perhaps best known for playing a staunch Trump loyalist on CNN.

Cain, like Moore, has close ties to Trump. Last September, Cain co-founded a pro-Trump Super PAC, America Fighting Back PAC. Its homepage features a photo of Trump with the text, “We must protect Donald Trump and his agenda from impeachment.”

Cain is actually more qualified for the job than Moore. From 1992 to 1996, he served as director of the Federal Reserve Bank of Kansas City.

As far as economic policy goes, Cain is perhaps best known for his “9-9-9” tax proposal, which would’ve replaced the US tax system with a flat tax of 9 percent on businesses, personal income, and sales.

Cain has recently spoken out against the Fed interest rate increases

News that Trump plans to nominate Cain came hours after Trump posted his latest tweet criticizing the Fed for the interest rate hikes it implemented during his first two years in office.

Though the Fed announced last month that rates would hold steady for now, Trump is apparently still unhappy with Chair Jerome Powell. Axios reports that Trump regards his selection of Powell “as one of the greatest mistakes of his administration. He has told aides that Powell has no ‘feel’ for the markets and compares him to a golfer who cannot putt.”

As late as December 2017, Cain publicly said he regarded the Fed’s policy of gradual rate hikes as “good news.” But he’s since brought his view into alignment with Trump, as Bloomberg detailed in a January report that broke news about Cain being under consideration for a Fed seat

He told Bloomberg News in an interview that he’s concerned the Fed was overly aggressive with interest rate increases in the last year, but didn’t respond to follow-up questions about his column defending higher rates.

The chain of events is reminiscent of what happened about a year ago with Ronny Jackson, Trump’s former White House physician and onetime choice to lead the Department of Veterans Affairs. Shortly after Trump announced Jackson as his pick to lead the VA, reports emerged about him drinking on the job and mistreating staff. Jackson’s nomination was eventually pulled. More recently, in February, Trump’s pick for United Nations ambassador, Heather Nauert, withdrew from consideration for the job amid reports that she employed a nanny who was in the country legally but didn’t have a proper work permit."
Manafort-Share-Russian.docx,"As a top official in President Trump’s campaign, Paul Manafort shared political polling data with a business associate tied to Russian intelligence, according to a court filing unsealed on Tuesday. The document provided the clearest evidence to date that the Trump campaign may have tried to coordinate with Russians during the 2016 presidential race.

Mr. Manafort’s lawyers made the disclosure by accident, through a formatting error in a document filed to respond to charges that he had lied to prosecutors working for the special counsel, Robert S. Mueller III, after agreeing to cooperate with their investigation into Russian interference in the election.

The document also revealed that during the campaign, Mr. Manafort and his Russian associate, Konstantin V. Kilimnik, discussed a plan for peace in Ukraine. Throughout the campaign and the early days of the Trump administration, Russia and its allies were pushing various plans for Ukraine in the hope of gaining relief from American-led sanctions imposed after it annexed Crimea from Ukraine.

Prosecutors and the news media have already documented a string of encounters between Russian operatives and Trump campaign associates dating from the early months of Mr. Trump’s bid for the presidency, including the now-famous meeting at Trump Tower in Manhattan with a Russian lawyer promising damaging information on Hillary Clinton. The accidental disclosure appeared to some experts to be perhaps most damning of all.

The document gave no indication of whether Mr. Trump was aware of the data transfer or how Mr. Kilimnik might have used the information. But from March to August 2016, when Mr. Manafort worked for the Trump campaign, Russia was engaged in a full-fledged operation using social media, stolen emails and other tactics to boost Mr. Trump, attack Mrs. Clinton and play on divisive issues such as race and guns. Polling data could conceivably have helped Russia hone those messages and target audiences to help swing votes to Mr. Trump.

Both Mr. Manafort and Rick Gates, the deputy campaign manager, transferred the data to Mr. Kilimnik in the spring of 2016 as Mr. Trump clinched the Republican presidential nomination, according to a person knowledgeable about the situation. Most of the data was public, but some of it was developed by a private polling firm working for the campaign, according to the person.

Mr. Manafort asked Mr. Gates to tell Mr. Kilimnik to pass the data to Oleg V. Deripaska, a Russian oligarch who is close to the Kremlin and who has claimed that Mr. Manafort owed him money from a failed business venture, the person said. It is unclear whether Mr. Manafort was acting at the campaign’s behest or independently, trying to gain favor with someone to whom he was deeply in debt.

Of the various Russian intermediaries to the Trump campaign, Mr. Kilimnik appears to be one of the most important to Mr. Mueller’s inquiry. A Russian citizen and resident, he faces charges from Mr. Mueller’s team of tampering with witnesses who had information about Mr. Manafort, but Mr. Kilimnik is not expected to ever stand trial."
Migrant_crisis .docx,"The crisis on the southern border has been driven by a surge of migrants from Guatemala, Honduras and El Salvador. Now there's a new face of the crisis: Hundreds of African migrants have crossed the border in recent weeks, many to seek asylum.

Border Patrol agents in the Del Rio sector of South Texas recently took into custody more than 500 migrants in just one week, mostly families from the Democratic Republic of Congo, the Republic of Congo and Angola.

""The migrant crisis at the U.S. border has been so well-publicized, and because of all the chaos over policymaking in Washington, D.C., it really gives the impression that the U.S. border is open for business right now,"" says Randy Capps, director of research for U.S. programs at the Migration Policy Institute, a Washington think tank.

Capps says Central Africans are also drawn to the U.S. because Europe is not so open for business, and because the boat trip across the Mediterranean can be treacherous. In fact, Capps says, many don't even make it to the sea. They're in refugee camps in North Africa.

""Many of them are stuck and languishing in really poor conditions, some in near slave conditions in Libya right now,"" Capps says. ""So when conditions at home are desperate, and the Europe option doesn't look good, the high-priced, long-distance option to come to the U.S. might be worth it.""

First, many of these migrants fly to South America. And when they get there, they find well-traveled roads to follow north, Capps says.

Capps says the U.S. can expect more migrants from all over the world to seek asylum in the United States unless Mexico does more to stop them. After threatening to impose tariffs, President Trump recently gave Mexico 45 days to act. Mexico pledged to beef up security on its southern border.

Many of the African asylum-seekers have then made their way to cities like Portland, Maine, with large, established African immigrant communities. And just as the surge of migrants is overwhelming border agents and the nation's immigration court system, it is also taxing social services from Portland to San Antonio, Texas.

At a recent press conference, Portland Mayor Ethan Strimling called this current wave of families seeking asylum ""our future.""

""We need to do everything we can to make sure that when they arrive, they are stable,"" he says. ""And that they, as quickly as possible, are able to get on their feet and start supporting their families and contributing to our economy.""

But the influx has stressed the city, which didn't have enough room in shelters to house the many newcomers who arrived last week. The makeshift emergency shelter at the arena now houses more than 200 asylum-seekers.

At the shelter, volunteers offer food and health supplies to the migrants. Some translate and build arts and crafts projects with the young children.

Immigrant communities and advocacy groups have worked with the city to volunteer and get supplies to the newcomers — everything from diapers to snacks. And donations have poured in to a city-run fundraiser — $350,000 so far.

Maine Gov. Janet Mills says that these migrants have endured brutality and bloodshed, and the people of Maine have a ""proud tradition"" of caring for their neighbors."
Trump-says-DHS.docx,"Senior administration officials told CNN that Nielsen had a 5 p.m., meeting at the White House with Trump where she was planning to discuss with him the immigration and border issues and a path forward. She had no intention of resigning, according to one of the sources, but rather was going there with an agenda.

The source notes Trump's frustration with the current asylum laws, and his desire for individuals who work for the administration to just stop Central American asylum seekers from entering the United States, contrary to the law.

Nielsen has felt ""in limbo"" for the last week, a person close to her says, as she bore the brunt of the President's anger over the border.

She's been increasingly on thin ice in the eyes of the President. She did not realize how dire it was when she left the US last weekend, but quickly did, as she abruptly returned.

She did interviews -- including on CNN -- to try and improve the President's souring view of her, the source close to Nielsen said, but to little avail.

""Nothing she could do or say could change how the President started viewing her,"" the source close to Nielsen said.

That said, she was prepared to be fired at any moment, but did not know going into Sunday's meeting it would be imminent.

The departure comes just days after Trump suddenly withdrew the nomination of Ron Vitiello for Immigration and Customs Enforcement director, blindsiding the Department of Homeland Security and the Hill. Nielsen was unaware what was happening until after the nomination had been pulled, a person familiar with the news said. The announcement Sunday also follows plans to cut aid to some Central American countries, marking a sudden reversal after Nielsen had days earlier visited Honduras to sign a regional compact agreement with Honduras, El Salvador and Guatemala.

Nielsen has had a tumultuous tenure that saw Trump steadily ramping up pressure on his team to execute his immigration promises, which he believes is the single driving issue for his base of political supporters.

Trump has vented privately that Nielsen hasn't adequately secured the border or enacted stricter immigration rules, even as she became the face of policies that administration critics called heartless and illegal.

In recent weeks, administration officials have been sounding the alarm over the increase in migrants at the southern border, underscoring the change in demographics as one of the reasons for the host of challenges they're facing.

""Right now, we have an emergency on our hands. We need to treat it as such,"" Nielsen told Chris Cuomo on CNN's ""Cuomo Prime Time"" Thursday.

When Kelly moved to the West Wing as chief of staff, Nielsen followed, becoming a deputy chief of staff tasked with helping Kelly bring rigor to a freewheeling staff.

The role didn't gain her popularity, but it helped her gain enough of Trump's trust to elevate her to the Cabinet post.

But at the agency that oversees border protection and immigration matters -- Trump's signature issue -- it was inevitable Nielsen would find herself in the President's crosshairs.

After a previous Cabinet meeting during which Trump berated her for not acting strongly enough on preventing illegal immigration, Nielsen considered resigning, people familiar with the matter said at the time.

She didn't then, and went on to become one of the public faces of a controversial policy that separated families at the southern border."
Trump Says U.S. ‘Winning’ Trade War After Reviving China Talks.docx,"President Donald Trump declared the U.S. was “winning” the trade war a day after reaching a temporary truce with Chinese President Xi Jinping.



On a visit to South Korea following the Group of 20 summit in Japan, Trump said at a news conference that the Federal Reserve “has not been of help to us at all” in his trade spat with Beijing.



“Despite that, we’re winning, and we’re winning big because we have created an economy that is second to none,” he said.



The White House has yet to reveal details of Trump’s arrangement with Xi, leaving uncertainty about how the two countries will proceed. Trump said after the G-20 meeting that he would hold off indefinitely on tariffs planned for an additional $300 billion in Chinese imports while allowing U.S. companies to continue to do some business with China’s Huawei Technologies Co., one of the country’s most prominent firms.



‘Catastrophic Mistake’

The move drew criticism back home, where many members of Congress agreed with the administration’s assessment that Huawei is a threat to national security and don’t want the company treated as a bargaining chip. The Commerce Department in May moved to place Huawei on a blacklist that would cut it off from American suppliers.



U.S. officials have alleged the company’s products could be utilized for espionage by Beijing, a claim Huawei denies.

“If President Trump has agreed to reverse recent sanctions against #Huawei he has made a catastrophic mistake,” Senator Marco Rubio, a Florida Republican, said in a tweet.



In addition to agreeing to re-start talks, Trump said Xi had also agreed that China would buy large amounts of U.S. agricultural goods. But Chinese official media reports said only that Trump hopes China will import more American goods as part of the trade-war truce.

Trump offered no further visibility into his agreement with Xi during both a scheduled meeting on Sunday with South Korean President Moon Jae-in and a surprise summit with North Korean leader Kim Jong Un at the Demilitarized Zone dividing the Korean Peninsula.

“We are where we are,” he said at a news conference with Moon when asked about China. “We’re collecting 25 percent on $250 billion, and China is paying for it, as you know, because, as you notice, our inflation hasn’t gone up.”



Yuan Devaluation

The president has repeatedly insisted that China bears the cost of the tariffs he’s imposed on its exports to the U.S., rejecting the consensus of economists that the taxes are paid by American companies and consumers in the form of higher prices.

“China has devalued their currency in order to pay for the tariffs,” he said. The yuan has declined against the dollar in the last year, helping offset some of the impact of Trump’s tariffs, but Chinese officials have said the devaluation is the result of market forces.

The U.S. Treasury Department under Trump has refrained from accusing China of artificially manipulating its currency.



“And in addition to devaluing, they’ve also pumped a lot of money into their economic model,” Trump said. “They’ve been pumping money in. We haven’t. We’ve been retracting. We’ve been raising interest rates and they’ve been lowering interest rates.”

Trump frequently complains about the Federal Reserve and its chairman he appointed, Jerome Powell, for raising interest rates in 2018. The central bank indicated after policy meetings earlier this month that it may consider reducing rates later this year if the economy softens."
Shutdown2.docx,"The Trump administration on Tuesday said it has called back tens of thousands of federal workers to fulfill key government tasks, including disbursing tax refunds, overseeing flight safety and inspecting the nation’s food and drug supply, as it seeks to blunt the impact of the longest government shutdown in U.S. history.

The nearly 50,000 furloughed federal employees are being brought back to work without pay — part of a group of about 800,000 federal workers who are not receiving paychecks during the shutdown, which is affecting dozens of federal agencies large and small. A federal judge on Tuesday rejected a bid by unions representing air traffic controllers and other federal workers to force the government to pay them if they are required to work.

The efforts by the Trump administration to keep the government operating during the partial shutdown came as the White House and Congress made no progress toward resolving their underlying dispute.

President Trump extended an unusual lunch invitation to a handful of rank-and-file House Democrats in an attempt to woo them and create a divide within the Democratic camp over the shutdown. But the lawmakers rebuffed the outreach as Democratic leaders voiced concerns the meeting would prove little more than a photo opportunity bolstering Trump.

With Democrats in the House pushing forward with bills to reopen the government, Trump seesawing from one strategy to another to win funding for his border wall and Senate Majority Leader Mitch McConnell (R-Ky.) largely sitting out the battle, there appeared to be no path toward opening the government as the partial shutdown ground through its 25th day.

The differing developments left a discordant image of Washington. As political leaders were paralyzed over a way to end the impasse, the federal government itself was looking for ways to show flexibility in determining who can and cannot work.

The president struck a defiant tone in a call Tuesday afternoon with supporters, according to audio of the call obtained by The Washington Post, urging them to call Democrats and voice support for the border wall and pledging, “We’re going to win.”

 

“They’re not being paid right now because of the Democrats,” Trump said of the federal workforce.

“People are impressed with how well government is working with the circumstances we’re under,” the president added.

But lawmakers from both parties were getting increasingly anxious for the shutdown to be over, even as an endgame looked as remote as ever.

The contours of the standoff have not changed since the shutdown began Dec. 22, with Trump repeating his demands for $5.7 billion to build more than 200 new miles of walls along the U.S.-Mexico border and Democrats refusing to budge from offering $1.3 billion to extend existing funding levels for border barriers and fencing.

Democrats are calling on Trump to reopen the portions of the government that have nothing to do with the wall before they negotiate with him on that issue. Trump has refused, but increasing numbers of Republicans have been issuing calls for Trump to reopen the government, even if just on a short-term basis as negotiations continue."
DP_Doc1_Trump-Bolton-Tenure.docx,"Trump Abruptly Ends John Bolton's Unlikely Tenure as NSA

Bolton’s embattled tenure in what has become a tumultuous position in the Trump White House has come to an end.



PRESIDENT Donald Trump on Tuesday announced he had fired national security adviser John Bolton, ending what some considered the unlikely tenure of one of the Republican establishment's most emphatic hawks on Venezuela, Iran and North Korea.

In a series of tweets, Trump said he told Bolton on Monday night ""that his services are no longer needed at the White House."" He added that he and other colleagues disagreed with many of the suggestions made by Bolton, who returned in April 2018 to a public position for the first time since serving as ambassador to the U.N. under George W. Bush.

Bolton submitted his resignation Tuesday morning, Trump said, adding that he will announce a new national security adviser next week. Bolton offered a slightly different account on Twitter, saying he offered his resignation Monday night and that Trump told him, ""Let's talk about it tomorrow.""

According to precedent, deputy national security adviser Charles Kupperman would inherit Bolton's responsibilities, though the president did not immediately indicate whether he would opt for another interim placeholder, as he has in the case of previous vacancies.

Top members of the administration defended the decision later in the day. Secretary of State Mike Pompeo and Treasury Secretary Steve Mnuchin, in a press conference announcing new sanctions to which Bolton was originally to contribute, said the president is entitled to the staff he wants and declined to comment on the specifics of Bolton's departure.

""I don't talk about the inner workings of how this all goes,"" Pompeo said. ""There were many times Ambassador Bolton and I disagreed, that's to be sure, but that's true of lots of people with whom I interact.""

Mnuchin declined to say whether the administration's policy toward Tehran would change following the departure of one of its most noted Iran hawks but said that he, Pompeo and the president ""are completely aligned on our maximum pressure campaign.""

However Trump and Bolton's disagreements centered on the president's uneasiness about foreign intervention, including prospectively in Iran, having campaigned on bringing the U.S. home from costly, bloody overseas adventures in the Middle East, and an intensely hawkish approach to hostile governments in Caracas and Tehran. That divide had become increasingly evident recently, including in Bolton's exclusion from a high-stakes meeting on the future of the war in Afghanistan in April.

The president's tolerance for Bolton may have reached a breaking point in his apparent opposition to a summit with Taliban and Afghan leaders at Camp David, which reports indicate the president eagerly tried to initiate before simultaneously revealing and canceling the plans in a string of tweets over the weekend.

Trump's decision represents the latest disruption for a tumultuous position in this White House. His first national security adviser, retired Army Gen. Mike Flynn, resigned only weeks into the administration amid concerns he lied about contacts with Russian operatives."
