title,text
RBC Downgrades Boston Beer Company Stock,"Another financial services firm has lowered Boston Beer Company’s stock (SAM). RBC Capital Partners today downgraded the company’s stock from an “outperform” rating to “sector perform.”
RBC analyst wrote that Boston Beer’s “volume woes have not hit a bottom just yet.” feedback from distributors on the company’s new products has been “mixed.”
“We think it is best to sit on the sidelines until we get more comfort with volume trends and incrementality of innovation,” .
As such, RBC lowered its price target to $331, down from $488.
RBC’s downgrade follows downgrades from Goldman Sachs (sell) and Bernstein (neutral) analysts.
Modi attributed the downgrade to the performance of Truly Hard Seltzer, which accounts for about half of the company’s sales. The pressure on Truly is “too much to overcome in the near term,” Modi wrote.
Hard seltzer sales are down -10% year-to-date, with dollar sales declining -15% in recent weeks in off-premise channels tracked by market research firm IRI, Modi wrote. Meanwhile, volume is down -20% over the last four-week period.
Citing Numerator data, Modi added that hard seltzer household penetration is now at 29.2% in the latest week, down 80 basis points compared to the start of the year and down 100 bps compared to mid-March. Meanwhile, repeat rates “have fared better,” but are also down compared to March (down 20 bps).
Although buy rates of hard seltzer are still up low-single-digits year-over-year in recent weeks, it “continues to see a sequential deceleration,” Modi wrote.
“While category [comparisons] should get easier, transitioning to MSD-HSD% [mid-single digits to high-single digits] comps for the remainder of the year starting in late June-early July, the current category velocities and two year trends continue to decelerate on an underlying basis making it more difficult to support a reversal of trends,” Modi wrote. “Truly’s share of hard seltzer has also regressed in the last 4 weeks and the overall hard seltzer category continues to lose share of overall beer.”
Boston Beer management had forecast 0-10% growth for the overall hard seltzer segment in 2022. Year-to-date in IRI tracked channels, the segment is declining -10%.
“Given seltzers’ recent performance, we see the category underachieving that target, even as comps ease,” Modi wrote.
“SAM’s shipment/depletion guidance of +4% to +10% implies ~HSD% depletion growth in the back half of the year as tracked channel underlying growth continues to decline,” Modi continued. “We ultimately see pressure to SAM’s FY’22 guidance due to Truly’s drag to overall growth. For the year, we see negative depletion growth as a reasonable outcome. With volumes in negative territory for the year, we acknowledge the long run growth trajectory of the business has greater uncertainty as seltzer/Truly velocities continue to slow and the company’s recent innovations remain unproven.”
On the bright side, Twisted Tea dollar sales have accelerated, up around 30% in tracked channels over the last four weeks, with the brand posting “strong growth in both ACV and total points of distribution.”
Boston Beer has received credit for its ‘needle-moving innovation over the year,” but it has has historically led to “boom-bust cycles as the company gets distribution and then repeat fades due to increased competition.” Although Boston Beer’s innovations this year have “done well gaining trial,” they have “struggled to be incremental overall.”
“Truly Margarita has reached ~4% share of hard seltzer, but share has come at the expense of previous innovations like Truly Lemonade, Punch, and Tea,” Modi wrote. “Our channel checks indicate Truly Vodka Seltzer is set to launch in August, which is late to capitalize on the peak summer selling season and support Truly growth needed this year. Bevy, which was launched this year, will be discontinued. Hard Mtn Dew has driven strong trial on limited distribution, but it remains too early to gauge ultimate potential.
“In the long term, we like SAM’s ability to innovate within the broader Beyond Beer space (seltzers, FMBs, RTDs, & ciders) but believe SAM will be in ‘prove it mode’ until clarity emerges regarding seltzer’s stabilization and innovation performance, both of which we believe will take time,” he continued.
RBC anticipates Boston Beer will lower its guidance due to pressures on Truly Hard Seltzer and the overall segment’s trends.
“With hard seltzer sales trends down double digits in recent periods, SAM’s category target of 0-10% growth is optimistic,” Modi wrote. “While we acknowledge the category [comparisons] get easier later in the year, underlying growth trends are also decelerating and we would find it most prudent if SAM guided to depletions continuing to decline on an underlying basis, which could be – MSD to HSD%. Given the cost environment we would also expect pricing to trend towards the higher end of their guided range 3-5%.”
"
"Rhode Island based craft brewery and distillery, further expands its’ brand portfolio","Newport, R.I. — Newport Craft Brewing & Distilling Co., a Newport, Rhode Island based craft brewery and distillery, further expands its’ brand portfolio with the acquisition of Radiant Pig Beer Company. With Braven Brewing Company and Radiant Pig Beer Company, Newport Craft’s stable of products now includes 26 authentic beers, and over 10 craft spirit and cocktail labels.
Since launching in 2013, Radiant Pig has created innovative, high-quality beers with colorful names and stories inspired by the art, music, and culture of New York City. Radiant Pig’s year round favorites include its flagship IPA “Save the Robots”, “TV Party” a New England pale ale, “Own the Night” Hazy IPA, “It Ain’t Easy” Double IPA, “No Half Steppin” Single Hop IPA, and “Junior”, a session IPA.
“In order to continue to deliver the level of quality expected of Radiant Pig and to satisfy the ever-growing demand, it was important for me to find a partner with the same vision and commitment to quality and authenticity, and I found that in Newport Craft. Getting to know CEO Brendan O’Donnell and the Newport Craft team over the past year, we discovered that we not only shared a vision but a commitment to common values. After countless discussions with Brendan, I understood Newport Craft’s unwavering commitment to the craft brewing industry and where it sees itself on the regional and national brewing stage. I am thrilled about the partnership and the future of Radiant Pig,” said Rob Pihl, founder, master brewer and creative force behind Radiant Pig Beer Company.
In addition to taking an equity stake in the Company, Rob will join a Newport Craft team that has over 100 years of combined manufacturing, brewing, and distilling experience and will become the Company’s Brewmaster and Brand Ambassador. New addition Jessica Woodcome, who previously represented Magic Hat, Labatt USA, Genesee, Imperial, and Seagram’s Escape, will lead the Radiant Pig sales team with the single focus of expanding the brand’s presence on the shelves and in the taps in CT, MA and RI. Jessica will join the Company’s completely rebuilt sales team led by David Hall, Northeast Sales Manager, and Tarcizio DaSilvia, Tri State Sales Manager. Adding the Radiant Pig beers to the Company’s production schedule that already includes the Braven Brewing and Newport Craft portfolios will push the Company’s production to 10,000 barrels by the end of the year and 25,000 barrels by 2022. Newport Craft has Radiant Pig in the tank and production and distribution will continue without interruption. Since taking over Newport Craft in 2017, Brendan and his team have solidified the Company’s spot as a leader on the New England craft brewing stage.
The Company has focused on its product lines, introducing new products, upgrading and expanding its manufacturing facility, and pursuing strategic acquisitions. Additionally, the Company is currently aging close to 1,000 barrels of Thomas Tew Rum and Sea Fog Whiskey; and has added gin, amaro, Newport Vodka, rye whisky, and reserve and spiced rums to its portfolio of spirits. Under Brendan’s leadership the Company has doubled its’ top line revenue, more than tripled its’ workforce, increased distribution to six states (CT, MA, NY, PA, RI, and ME), and has grown its social media platform to nearly 50,000 followers.
Newport Craft is now the largest combined brewing and distilling company in Rhode Island by production. The Thomas Tew Rum brand has been ranked amongst the top ten craft rums in America by USA Today, is a featured rum at Walt Disney World’s EPCOT, can be found on the top shelf of over 500 restaurants and bars and is the Official Rum of the New York Mets. Additionally, Newport Craft’s portfolio of beers, including Braven Brewing Company, are sold at the New York Mets’ Brooklyn and Queens area ballparks. Behind the strength of the Braven Brewing and Radiant Pig brands, Newport Craft will explore opportunities to open a tasting room in the New York City market.
To increase its brewing and distilling capacity and to meet the heightened market demand for its products, Newport Craft is in the process of doubling the production capacity of its current Newport, RI facility. The project will break ground in Summer 2020 with a projected 12 month build time. Once completed, the state-of-the-art facility will allow the Company to increase its brewing capacity with an eye towards 100,000 barrels per year with room to grow. The expanded facility will also allow the Company to separate the brewing and distilling operations. Not only will this new facility create the space for expansion and increased production, it will become a premier tourist attraction and venue allowing for each of the Company’s products to be displayed, tasted and enjoyed. The Company anticipates doubling its Rhode Island community workforce to meet production demands."
Craft Breweries forming a partnership with NA,"Two St. Louis craft breweries are forming a partnership.
Schlafly Beer and non-alcoholic beer maker WellBeing Brewing Co. announced a joint venture Thursday that will see Schlafly manage sales and production of WellBeing’s brands while also working with the company’s existing contract brewing and distribution partners.
Partnering with WellBeing gives Schlafly access to a portfolio of non-alcoholic beer brands with shared local roots.
In a statement, Schlafly CEO Fran Caradonna told Brewbound that “there has been no change in ownership or control of WellBeing or Schlafly.”
“The companies are working shoulder to shoulder as partners, each in their respective areas of strength, and sharing the profits,” she added.
“This is truly a joint venture. It allows us to scale our brand to a new level,” added WellBeing co-founder and CEO Jeff Stevens in a press release. “We can utilize Schlafly’s operational resources, yet still grow our brand under our vision. As craft brewers look for ways to adapt to a changing consumer landscape, non-alcoholic offerings are becoming essential. We believe that we can be a driver of innovation across the adult non-alcoholic space.”
WellBeing’s brands will be sold throughout Schlafly’s distribution footprint, which covers Missouri, Kansas, Nebraska, Oklahoma, Indiana, Kentucky, Tennessee, Michigan, Virginia, West Virginia, Pennsylvania, New York, New Jersey, Maryland, and Washington, D.C.
Caradonna told Brewbound that the two companies’ distribution “footprints have some overlap, but WellBeing’s distribution is wider while Schlafly’s is deeper.”
“We each use different wholesalers in our home market, but we won’t be making any changes as a result of this joint venture,” she added. “Our goal is to create and maintain the most effective distribution for both Schlafly and WellBeing, and sometimes that might mean they’re together in the same house and other times it may not.”
WellBeing will be able to leverage Schlafly’s management and operational capabilities, while maintaining its focus on innovation, overseeing product development, marketing, content, publicity and its e-commerce sales.
WellBeing’s offerings will continue to be contract produced at O’Fallon Brewery in Maryland Heights, Missouri, and New Realm Brewing’s Virginia Beach, Virginia, location. Schlafly will produce some WellBeing offerings in the future, but the company does “not plan to move all production here,” according to Caradonna.
“I expect increased sales will keep us all quite busy making WellBeing NA beers,” she added.
Schlafly will also manage back-of-house functions such as inventory, raw materials procurement, logistics and sales.
The JV is in effect immediately, with WellBeing beers brewed by Schlafly expected to hit retailers later this year.
Year-to-date through June 26, dollar sales of non-alcoholic beer are up +13.4%, to nearly $117.5 million, in multi-outlet and convenience stores tracked by market research firm IRI. NA beer’s share of beer category dollars have also increased .08%, to .61%. However, off-premise scans only capture part of the sales picture for NA beer producers, who are able to leverage e-commerce channels to sell their offerings directly to consumers. NA producers are also making headway into on-premise retailers, with Athletic Brewing recently gaining more than 1,000 placements at Buffalo Wild Wings stores.
"
Anheuser-Busch InBev Sells CA distributership,"Anheuser-Busch InBev has struck a deal to sell its Oakland, California-based wholly owned distributor to two independent wholesalers, Markstein Sales Company and Matagrano, Inc.
Financial terms of the deal, which is expected to close July 29, were not disclosed.
“The strength of our wholesaler system is a critical element as we drive to deliver industry innovation and growth, and that includes both our industry-leading independent wholesaler network as well as our Anheuser-Busch facilities,” A-B chief commercial officer Kyle Norrington said in a press release.
“Anheuser-Busch’s owned distribution operations are a competitive advantage as they help us to develop future leaders, to test, pilot, and learn in the market, and ultimately to become better partners to our independent wholesalers and retail customers,” he continued. “We are pleased to transition our Oakland operations to two strong wholesaler partners, and we look forward to working together to accelerate our momentum in Northern California.”
Antioch-headquartered Markstein will sell A-B products in Oakland, while South San Francisco-based Matagrano will sell the portfolio in northern Santa Clara County and San Jose. Both distributors will maintain their current warehouse operations.
The added territory is a boon for Markstein, which received a termination notice from Constellation Brands earlier this year along with Visalia-based Bueno Beverage Company. Together, the two sold about 4 million case equivalents of Constellation products (Modelo, Corona, Pacifico).
“As a woman-owned, family-owned business with 102 years of local experience, we are proud of our long-term partnership with Anheuser-Busch as they continually demonstrate a willingness to support and work with their independent wholesalers as true partners,” president Laura Markstein said in the release. “We appreciate the opportunity to integrate Anheuser-Busch’s Oakland territory and members of its workforce into our operations and to continue bringing Anheuser-Busch’s leading portfolio of brands to our retail customers in this large and diverse community we call home.”
AB ONE Oakland joined A-B’s wholly owned distributor division in 2015, when it was acquired as Horizon Beverage from former owner Ces Butner, who now owns Speakeasy Ale & Lagers. A-B sold the Oakland distribution facility in May 2020 to Westcore Properties, an industrial real estate developer, for $40.5 million, according to CoStar.
That sale was the first in a string of deals AB ONE engaged in during the summer and fall of 2020. In July 2020, it swapped territories with Heimark Distributing in Southern California. In September 2020, A-B sold its wholly owned Colorado branch to Norcross, Georgia-based Eagle Rock Distributing. Two weeks later, A-B acquired Los Angeles-based Ace Beverage. A-B named Anson Frericks president of AB ONE last fall.
The moves are part of A-B’s “ongoing efforts to ensure the strongest possible route-to-market and the highest level of services for its retail customers across the different markets in which it operates,” according to the release.
“Over the last several years we have worked to structure our organization to drive growth and create value for our customers, consumers and communities,” A-B VP of business and wholesaler development Bob Tallett said in the release. “Northern California is an important market, so it was critical for us to find trusted partners that have a clear vision for this business. We will continue to work closely with Markstein and Matagrano to prioritize Anheuser-Busch employees and ensure a smooth and efficient transition.”
In addition to A-B products, Markstein’s portfolio includes offerings from Firestone Walker, Sierra Nevada, Lost Coast, Shiner, Deschutes and Fort Point. Matagrano’s portfolio includes offerings from Stone, Heineken USA, Firestone Walker, Deschutes and 21st Amendment.
A-B also operates AB ONE branches in Southern California, Oregon, Washington, Oklahoma, Ohio, Massachusetts and New York.
During Beer Business Daily’s Beer Industry Summit in January, North American zone CEO Brendan Whitworth noted that AB ONE branches at the time accounted for about 7% of the company’s volume.
A-B is limited to shipping no more than 10% of its volume through AB ONE, so the sale of AB ONE Oakland will drive that number down. It was as high as 9% in 2016, according to a letter the National Beer Wholesalers Association (NBWA) sent the Department of Justice (DOJ) to comment on the proposed A-B/SABMiller merger. At the time the NBWA called into question the veracity of A-B’s self-reported volume flowing through its own network.
"
CEO's Call on Repeal of Aluminum Tariffs,"CEOs Call on President to Repeal Section 232 Aluminum Tariffs
Leaders of the four largest U.S. beer manufacturers sent President Joe Biden a letter on July 1 calling for the repeal of the Section 232 tariffs imposed on aluminum by former President Donald Trump, saying “tariff relief results in inflation relief.”
The letter was signed by Gavin Hattersley, president and CEO of Molson Coors Beverage Company and chairman and acting president of the Beer Institute; Brendan Whitworth, CEO of Anheuser-Busch InBev’s North America zone; Jim Sabia, EVP and president of Constellation Brands’ beer division; and Maggie Timoney, CEO of Heineken USA.
They wrote that the tariffs continue to “burden breweries of all sizes.”
“Eliminating the tariffs will alleviate pressure and allow us to continue our vital role as strong contributors to this nation’s economy,” they wrote.
The CEOs added that the beer industry uses more than 41 billion aluminum cans a year, and since the implementation of the tariffs in 2018, the U.S. beverage industry has paid more than $1.4 billion in Section 232 tariffs. The tariffs have led to increased production costs for aluminum end-users and higher prices for consumers.
“Just as concerning is that of the $1.4 billion ostensibly paid in tariffs, 92% did not go to the U.S. Treasury,” they wrote. “We applaud your administration’s efforts to negotiate lifting tariffs off individual countries. However, those efforts to provide economic relief to American consumers have no effect if end-users – such as U.S. brewers – are charged a tariff-burdened price regardless of whether the metal should be tariffed based on its content or origin.”
The CEOs called on the Biden Administration to investigate “aluminum market manipulation and benchmarking” and “bring much needed transparency to the marketplace and relief to end-users and American families.”"
Modern Times Sale Take another turn,"The sale of Modern Times took another turn Thursday with the ultimate acquirer of the San Diego brewery still in question.
BX MT BAMF LLC, an affiliate of Anaheim, California-based Brewery X, which was awarded the ability to acquire Modern Times during a June 17 auction, has “elected not to complete the sale process,” according to a press release issued Thursday by Modern Times.
With Brewery X apparently out of the picture, Kihei, Hawaii-based Maui Brewing Company is next in line as the court-approved backup bidder, with a $15.3 million bid.
Although Maui has moved into the buyer’s seat, there remains a long way to go before the sale process closes. Maui chief operating officer Scott Metzger told Brewbound “there are a lot of legal complications as we figure out who the ultimate buyer of Modern Times will be.”
The sale is expected to close in October 2022, according to the release.
How We Got Here
The $20 million bid from Brewery X – via BX MT BAMF – to acquire Modern Times, with a 14-day closing window, was approved by the court during a June 24 hearing. The brewery backed out of the sale on July 1, according to Modern Times.
“This was an unexpected development in this process,” Modern Times CEO Jennifer Briggs said in a press release. “I am looking forward to working with [Maui Brewing] and finalizing the sale process and transitioning the business.
“The Modern Times Brewing team of employees and professional advisors engaged with BX MT BAMF, LLC representatives in a sprint-like fashion to meet the tight transition timeline for the closing date of July 8, 2022,” she continued. “This last-minute change is abrupt, yet it gives us the opportunity to be even more methodical. It allows [Maui Brewing] the time to finalize their acquisition process per their asset purchase agreement and how it will be additive to our craft brewing community.”
“Distressed sale processes often experience some turbulence, including on the buyer side,” Paul Buie, managing director of Onyx Asset Advisors, the company overseeing the sale of Modern Times, said in the release. “Thanks to the strong interest that developed in the Modern Times’ sale process, the Receiver was able to select and confirm [Maui Brewing] as the backup bidder at the June 17th auction.”
A Rollercoaster Sales Process
The sale process has taken several turns since Modern Times’ primary lender Zions Bancorporation (California Bank & Trust) initiated the court-approved sale process following the brewery defaulting on three loans totaling $12.9 million.
Last month, a wrench was thrown into the auction process when Modern Times’ court-appointed receiver, Thomas Hebrank, named Brewery X the winning bidder, even though MTD Asset Acquisition (MTD) made a higher offer at $20.1 million. MTD’s offer included a 120-day close period and the request for Hebrank to file for Chapter 11 bankruptcy following the closing.
Michael B. Lubic, MTD’s attorney, filed an objection to the selection of Brewery X’s bid and submitted a new offer of $21 million with a 30-day close period and no Chapter 11 option on the grounds that the auction rules specified that non-monetary aspects, such as time to close, were not going to be considered as part of the auction.
“The auction was not conducted in accordance with the auction rules and the procedure was not fair, not commercially reasonable, and not designed to maximize value for the creditors,” Lubic wrote in the objection.
According to MTD’s asset purchase agreement included in Hebrank’s declaration, MTD is a Delaware-based LLC that lists K. Bagby Taylor as its president. Kurt Bagby Taylor is the founder of Next Glass, the parent company of Untappd, BeerAdvocate and Hop Culture; he exited the company following its sale in March 2020.
His father, George Taylor, is the CEO of Wilmington, North Carolina-based TRU Colors Brewery. According to notes in the auction bid log, MTD was bidding on behalf of TRU Colors. However, Kurt Taylor told WilmingtonBiz TRU Colors was not connected to the auction.
“The plan was to work through some of the challenges that Modern Times had,” Kurt Taylor told the business publication. “I really like the brand that they had built and thought that there was a lot of potential there to revive it. The employees there I thought were excellent – really skilled and good at their craft. My hope was to stabilize the business in Southern California and then potentially look to expand beyond there.”
Kurt Taylor has not responded to Brewbound’s request for comment.
"
North Carolina relaxes liquor Tax,"North Carolina Nixes Bill to Expand RTD Market Access
A bill that would have expanded market access for spirits-based, ready-to-drink (RTD) canned cocktails in North Carolina failed to advance in the state Legislature before it adjourned on July 1.
House Bill 904 would have created a new legal definition for RTDs between 0.5%-9.5% ABV as “low alcohol beverage coolers” that categorized them as fortified wine, paving the way for the spirits-based drinks to be sold outside of state-run liquor stores. North Carolina is a control state in which boards run by the county or municipal governments oversee the sale of spirits.
The Beer Institute (BI), the trade group that represents the nation’s larger brewers, called it “the latest in a string of similar moves that stand up for America’s beer businesses.”
“Lawmakers in North Carolina are sending a message to hard liquor: beer and liquor are not the same,” BI director of public affairs Alex Davidson said in a press release. “Large liquor companies don’t need special tax hand-outs, especially after recording more than $3.8 billion in profits last year. North Carolina lawmakers are right to focus their efforts on domestic job creators and working families who need help as they recover from the pandemic and face rising inflation.”
The spirits industry is advocating for lower excise taxes and expanded market access for RTDs, which have similar ABV levels to beer and products categorized as beer such as hard seltzers. Bills that would have achieved these goals stalled or failed during the legislative sessions in several states this year, including Alabama, Arizona, Hawaii, Kentucky, Maryland, Washington and West Virginia, according to the BI.
Last month, Vermont enacted a law that created a separate class for RTDs up to 12% ABV, allowing them to be sold at licensed beer and wine retailers. In addition to expanding market access, Vermont also lowered excise tax from $7.68 per gallon to $1.10 per gallon, twice the rate for wine and quadruple the rate for beer.
In Michigan and Nebraska, which lowered RTD excise tax rates, retail prices for the products increased 2.3% and 2.1%, respectively, the BI said.
"
NJ Lawmakers backpeddle on Taproom restrictions,"NJ Lawmaker to Attempt Roll Back of Taproom Event Limitations
Following the New Jersey Division of Alcoholic Beverage Control’s (NJABC) move to enforce special conditions that restrict craft breweries’ ability to host events and offer food, state Sen. Michael Testa has announced he will introduce a bill to counter the restrictions.
The conditions – which Testa called “disastrous and destructive” in a press release – were introduced in 2019, but went unenforced during the COVID-19 pandemic. The NJABC said they would begin enforcing the conditions during the 2022-2023 license cycle, which began on July 1.
“In my opinion, the ABC fell far short treating our local breweries fairly, which we must address with new legislation to aid these small businesses,” Testa said in the release. “These breweries, like most small businesses, suffered under Governor Murphy’s pandemic shutdowns and restrictions. To increase their burden with these new rules only adds insult to injury.”
Under the conditions, limited brewery licensees cannot coordinate with any food truck or pop-up food vendor to offer meals on brewery premises and are restricted to 25 public and 52 private on-site events per year, among other limitations. The 25 public events include activities such as trivia, paint nights, live music and yoga classes – all of which are regular occurrences at breweries nationwide. Breweries must notify NJABC 10 days prior to an event
Testa said he plans to introduce the legislation in several weeks during the next Senate quorum.
"
RTDs show strong growth,"Drizly: RTDs, Rice Lagers and BeatBox Big Winners in May
Ready-to-drink alcoholic beverages (RTDs) had another strong month on Drizly, continuing to drive summer sales growth on the e-commerce alcohol delivery platform, with “no signs of stopping,” according to Liz Paquette, Drizly’s head of consumer insights.
As previously reported, RTDs had a particularly strong Memorial Day weekend, passing hard seltzers in share of sales for the first time on the platform. The segment recorded a 4.8% share of sales on Drizly during the holiday, while hard seltzer recorded a 4.4% share.
RTD variety packs from brands such as Gallo’s High Noon Sun Sips, Anheuser-Busch InBev’s (A-B’s) Cutwater Spirits and Nütrl Vodka, led growth in the segment over the month, “indicating that summer get-togethers are starting early,” according to Drizly’s May consumer insights report.
Drizly also noted that consumers were ordering earlier in the week. Sunday (12%), Monday (13%) and Tuesday (13%) each gained three points order share month-over-over, while Monday and Tuesday also gained share year-over-year.
Other beyond beer brands recorded significant growth in the month, including BeatBox Beverages’ hard “party punch,” which had the largest year-over-year sales increase on Drizly, driven by flavors Fruit Punch, Tropical Punch and Blue Razzberry. Strainge Beast Hard Kombucha was one of the fastest growing beer brands year-over-year in May, with flavors such as Ginger, Lemon, and Hibiscus; Passion Fruit, Hops, and Blood Orange; and Blueberry, Acai, and Sweet Basil.
Rice lagers recorded the most growth in beer out of all other subsegments, led by brands such as Asahi, Orion Breweries and Berryessa Brewing Co. – a trend that carried over from March.

"
US beer Imports Fall,"U.S. beer shipments declined -2.2% in May 2022, to an estimated 14.6 million barrels, according to the Beer Institute, citing the latest domestic tax paid shipment estimates shared by the Alcohol and Tobacco Tax and Trade Bureau (TTB).
Year-to-date shipments through May 2022 are now down -3.3% year-over-year, to 66.9 million barrels shipped, 2.251 million fewer barrels than at this time in 2021 when brewers shipped 69.151 million barrels.
Shipments have now declined in four of the first five months of 2022 — January (-6.2%), February (-5.8%), April (-5.9%) and now May — with March (+2.9%) being the one outlier thus far.
June 2022 domestic tax paid estimates are slated to be released on July 26.

"
